SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100122672,10006519,10009877,36,36
100122677,10006520,10006539,12,12
100122681,10006520,10006717,11,11
100122698,10006521,10006616,30,30
100122709,10006521,10010872,52,52
100122717,10006522,10010937,20,20
100122736,10006527,10009159,56,56
100122737,10006527,10009206,15,15
100122742,10006527,10012372,75,75
100122757,10006529,10009575,22,22
100122763,10006529,10010937,30,30
100122769,10006531,10007795,33,33
100122782,10006532,10011671,71,71
100122798,10006534,10012930,42,42
100122802,10006535,10012492,32,32
100122807,10006535,10012978,13,13
100122825,10006537,10010798,26,26
100122828,10006537,10011087,33,33
100122846,10006538,10010937,21,21
100122852,10006538,10011670,81,81
100122867,10006539,10010735,14,14
100122872,10006539,10012226,17,17
100122873,10006539,10012714,26,26
100122887,10006540,10012750,12,12
100122893,10006541,10012174,52,52
100122911,10006544,10006788,34,34
100122915,10006544,10008040,52,52
100122932,10006549,10008519,54,54
100122937,10006549,10008837,34,34
100122941,10006549,10010599,30,30
100122958,10006549,10012131,22,22
100122967,10006549,10013101,30,30
100122976,10006551,10011671,24,24
100122991,10006557,10011516,20,20
100122997,10006558,10013013,70,70
100123002,10006559,10011865,27,27
100123003,10006559,10012409,31,31
100123023,10006564,10009828,21,21
100123031,10006565,10006896,51,51
100123041,10006565,10008527,57,57
100123058,10006565,10010563,17,17
100123062,10006565,10010793,56,56
100123067,10006565,10011284,48,48
100123072,10006565,10011755,23,23
100123084,10006565,10013002,47,47
100123099,10006567,10008057,13,13
100123111,10006568,10007902,14,14
100123118,10006568,10010355,48,48
100123127,10006569,10006570,95,95
100123132,10006570,10006572,59,59
100123147,10006571,10006708,49,49
100123153,10006571,10011294,48,48
100123171,10006573,10011848,50,50
100123173,10006573,10012920,50,50
100123192,10006575,10013084,56,56
100123197,10006576,10009563,32,32
100123201,10006576,10011082,56,56
100123214,10006579,10006922,43,43
100123223,10006580,10011683,72,72
100123236,10006581,10008942,38,38
100123237,10006581,10009120,28,28
100123257,10006583,10007062,38,38
100123262,10006583,10007542,68,68
100123263,10006583,10007596,35,35
100123283,10006584,10007011,11,11
100123291,10006584,10008002,33,33
100123301,10006584,10010538,12,12
100123318,10006584,10012933,82,82
100123322,10006584,10013084,79,79
100123327,10006585,10010937,43,43
100123338,10006586,10011683,53,53
100123348,10006587,10009762,46,46
100123353,10006587,10011074,23,23
100123366,10006589,10008048,20,20
100123381,10006590,10006656,26,26
100123387,10006591,10007653,50,50
100123392,10006593,10008236,15,15
100123407,10006594,10007155,56,56
100123413,10006594,10010295,23,23
100123431,10006596,10007242,15,15
100123435,10006596,10010441,13,13
100120002,10006346,10008566,34,34
100120003,10006346,10009538,22,22
100120006,10006346,10013219,26,26
100120008,10006347,10006616,11,11
100120012,10006347,10009949,13,13
100120013,10006347,10011671,59,59
100120015,10006347,10013107,42,42
100120016,10006348,10009351,47,47
100120019,10006348,10012116,43,43
100120020,10006348,10012119,46,46
100120021,10006349,10006452,45,45
100120023,10006349,10009710,50,50
100120024,10006349,10011671,32,32
100120026,10006349,10012499,51,51
100120027,10006349,10012625,50,50
100120029,10006350,10006657,19,19
100120032,10006350,10010583,47,47
100120034,10006350,10011891,48,48
100120035,10006351,10006418,35,35
100120037,10006351,10008701,40,40
100120038,10006351,10010674,28,28
100120040,10006351,10010909,75,75
100120041,10006351,10011671,63,63
100120043,10006351,10011690,18,18
100120045,10006351,10013021,32,32
100120046,10006353,10008573,32,32
100120048,10006353,10013170,39,39
100120051,10006354,10008159,41,41
100120052,10006354,10009509,17,17
100120054,10006354,10010963,51,51
100120056,10006354,10011818,46,46
100120057,10006354,10012482,47,47
100120059,10006355,10009461,54,54
100120060,10006355,10009576,49,49
100120062,10006355,10010012,15,15
100120063,10006355,10010556,40,40
100120065,10006355,10011670,40,40
100120067,10006355,10011681,38,38
100120068,10006355,10013279,40,40
100120071,10006357,10008190,39,39
100120073,10006357,10011670,11,11
100120077,10006358,10006363,15,15
100120078,10006358,10006364,45,45
100120080,10006358,10008190,32,32
100120081,10006358,10009566,15,15
100120083,10006358,10011681,12,12
100120085,10006358,10013059,55,55
100120086,10006359,10006360,28,28
100120088,10006359,10008641,13,13
100120089,10006359,10009223,36,36
100120091,10006359,10011670,11,11
100120092,10006359,10011681,16,16
100120094,10006360,10006868,26,26
100120097,10006360,10008187,79,79
100120099,10006360,10008640,13,13
100120100,10006360,10010242,46,46
100120102,10006360,10010553,30,30
100120103,10006360,10010658,43,43
100120105,10006360,10011547,21,21
100120106,10006360,10011565,19,19
100120108,10006360,10011681,85,85
100120110,10006360,10011776,31,31
