SDFB Person ID,Display Name,Gender,Historical Significance,Extant Birth Year,Extant Death Year,,,
10001867,James Butler,male,lord lieutenant of Ireland,1610,1688,,,
10009929,Daniel Price,male,dean of Hereford,1581,1631,,,
10011835,Henry Temple,male,politician,1676,1757,,,
10012336,Jean Veron,male,religious writer and translator and Church of England clergyman,1453,1563,,,
10002960,John Craig,male,mathematician and Church of England clergyman,1663,1731,,,
10010758,Sir Charles Scarburgh,male,physician and natural philosopher,1615,1694,,,
10002543,Richard Clerke,male,navigator and privateer,1572,1596,,,
10013019,Ralph Winterton,male,physician,1601,1636,,,
10007937,Sir Richard Manningham,male,man-midwife,1685,1759,,,
10006685,Hugh Jones,male,bishop of Llandaff,1508,1574,,,
10013010,John Winstanley,male,poet,1677,1750,,,
10008514,Sir Richard Morison,male,humanist and diplomat,1510,1556,,,
10009285,William Palmer,male,Church of England clergyman,1538,1605,,,
10010030,William Pynchon,male,public official and pamphleteer in America,1590,1662,,,
10007423,Elizabeth Lilburne,female,Leveller,1641,1660,,,
10009047,Rory O'More,male,conspirator,1592,1666,,,
10007072,James Lacy,male,actor and theatre manager,1696,1774,,,
10013080,Thomas Wolsey,male,separatist leader,1500,1610,,,
10004493,James Foster,male,preacher and General Baptist minister,1697,1753,,,
10004127,Sir Richard Fanshawe,male,diplomat and translator,1608,1666,,,
10001229,James Boevey,male,merchant and philosopher,1622,1696,,,
10005762,Sir Robert Heath,male,judge,1575,1649,,,
10007349,John Leslie,male,politician,1679,1722,,,
10012888,Elizabeth Wilkinson,female,spiritual autobiographer,1612,1654,,,
10009101,John Ogle,male,wit and gambler,1652,1692,,,
10009448,John Payne,male,printmaker,1538,1648,,,
10010300,Robert Ridley,male,theologian,1426,1536,,,
10001635,Sir Anthony Browne,male,courtier,1500,1548,,,
10003515,Arthur Dillon,male,Jacobite army officer and politician,1670,1733,,,
10007427,George Lillo,male,playwright,1691,1739,,,
10008652,William Murray,male,Jacobite leader and army officer,1689,1746,,,
10008012,Anthony Marten,male,courtier and author,1542,1597,,,
10007188,John Law,male,finance minister in France,1671,1729,,,
10004893,Roger Goad,male,college head,1538,1610,,,
10007191,William Law,male,devotional writer and nonjuror,1686,1761,,,
10004759,Joshua Gee,male,writer on trade and merchant,1667,1730,,,
10010086,Andrew Michael Ramsay,male,philosopher and Jacobite sympathizer,1686,1743,,,
10012654,Humphrey Weld,male,property developer and administrator,1612,1685,,,
10012911,Sir David Williams,male,judge,1550,1613,,,
10003859,Solomon Eccles,male,musician and Quaker missionary,1617,1682,,,
10011869,Thomas Thirlby,male,bishop of Westminster and of Ely,1500,1570,,,
10001962,William Camden,male,historian and herald,1551,1623,,,
10003040,Richard Croke,male,Greek scholar,1489,1558,,,
10003665,Sir Francis Drake,male,"pirate, sea captain, and explorer",1540,1596,,,
10009744,Thomas Pittis,male,Church of England clergyman,1636,1687,,,
10004050,Edmund Everard,male,informer,1673,1691,,,
10010612,Sir Ralph Sadler,male,diplomat and administrator,1507,1587,,,
10006136,Sir Robert Honywood,male,diplomat and translator,1601,1686,,,
10007453,Robert Lindsay of Pitscottie,male,historian,1532,1586,,,
10005560,John Harper,male,actor,1632,1742,,,
10003191,Sir Simonds D'Ewes,male,diarist and antiquary,1602,1650,,,
10003618,Lady Jane Douglas,female,noblewoman,1698,1753,,,
10003945,Thomas Ellwood,male,religious controversialist,1639,1713,,,
10004242,Nathan Field,male,actor and playwright,1587,1619,,,
10002225,Richard Cavendish,male,courtier,1530,1601,,,
10005985,James Hind,male,highwayman and royalist soldier,1616,1652,,,
10008417,William Montgomery,male,historian,1633,1707,,,
10005298,Anne Gunter,female,demoniac,1584,1694,,,
10008521,John Morley,male,land agent,1656,1732,,,
10007346,John Leslie,male,Church of Ireland bishop of Clogher,1571,1671,,,
10003467,Sir William Dethick,male,herald and antiquary,1543,1612,,,
10007806,Colin Mackenzie,male,physician and man-midwife,1697,1775,,,
10002357,Sir John Cheke,male,"humanist, royal tutor, and administrator",1514,1557,,,
10006042,Sir Henry Hoghton,male,landowner and politician,1676,1768,,,
10005877,Thomas Heskyns,male,Roman Catholic priest,1540,1565,,,
10009295,Gregorio Panzani,male,NA,1620,1662,,,
10002833,Richard Corbett,male,"bishop of Oxford and of Norwich, and poet",1582,1635,,,
10010803,Robert Scott,male,bookseller,1632,1709,,,
10009110,Hugh Oldcastle,male,schoolmaster and author of a text on double entry accounting,1433,1543,,,
10009881,Martin Powell,male,puppet-showman,1615,1725,,,
10003193,Thomas D'Oylie,male,physician and lexicographer,1548,1603,,,
10006036,James Hog,male,Church of Scotland minister and religious controversialist,1626,1736,,,
10010031,Hugh Pyne,male,lawyer and alleged traitor,1569,1628,,,
10003727,Robert Duckenfield,male,parliamentarian army officer,1619,1689,,,
10005721,John Hay,male,politician,1645,1713,,,
10002640,Humfrey Cole,male,mathematical instrument maker and die sinker,1530,1591,,,
10003772,William Duncombe,male,writer,1690,1769,,,
10004719,Sarah Gater,female,merchant,1605,1656,,,
10008572,John Mottley,male,writer,1692,1750,,,
10005434,Gavin Hamilton,male,bishop of Galloway,1561,1612,,,
10011398,George Sprot,male,conspirator and forger,1498,1608,,,
10001588,John Bromley,male,translator,1653,1718,,,
10011238,Thomas Smith,male,colonial adventurer,1547,1573,,,
10002835,William Corbett,male,violinist and composer,1680,1748,,,
10009090,James Ogilvy,male,nobleman,1540,1606,,,
10007514,Sir Godfrey Lloyd,male,military engineer,1608,1671,,,
10010301,Sir Thomas Ridley,male,civil lawyer,1548,1629,,,
10006340,Lewis Hughes,male,Church of England clergyman,1570,1646,,,
10000769,"William Bassett of Blore, Staffordshire",male,NA,1585,1618,,,
10010909,Samuel Sewall,male,judge and diarist in America,1652,1730,,,
10013035,George Wishart,male,evangelical preacher and martyr,1513,1546,,,
10003080,Robert Crosse,male,writer on philosophy and Church of England clergyman,1604,1683,,,
10006971,Elisha Kirkall,male,engraver,1681,1742,,,
10008883,Henry Norris,male,actor,1661,1731,,,
10012851,William Wickham,male,bishop of Winchester,1539,1595,,,
10007351,Norman Leslie,male,landowner and soldier,1444,1554,,,
10007770,Angus Macdonnell,male,chief of clan Macdonnell of Glengarry,1570,1680,,,
10003728,George Duckett,male,author,1684,1732,,,
10007715,Sir Richard Lyster,male,judge,1480,1553,,,
10003272,Joan Darby,female,,1598,1708,,,
10011800,Dorothy Tasburgh,female,landowner,1531,1577,,,
10010494,John Row,male,Church of Scotland minister,1526,1580,,,
10004680,James Gardiner,male,bishop of Lincoln,1636,1705,,,
10001097,George Bishop,male,government official and religious writer,1558,1668,,,
10011054,Sir Robert Shirley,male,diplomat,1581,1628,,,
10003973,Sir Richard Empson,male,administrator and speaker of the House of Commons,1450,1510,,,
10010117,John Rastell,male,author and Jesuit,1530,1577,,,
10011643,Sir Thomas Street,male,judge,1625,1696,,,
10010616,John Sage,male,Scottish Episcopal bishop and writer,1652,1711,,,
10009628,Thomas Petyt,male,printer and bookseller,1494,1565,,,
10000770,Christopher Bassnett,male,Presbyterian minister,1677,1744,,,
10012285,Thomas Vavasour,male,physician and recusant,1475,1585,,,
10011541,Andrew Stewart,male,clergyman and ejected minister,1614,1671,,,
10001267,William Bonham,male,printer and bookseller,1497,1557,,,
10005961,Robert Hill,male,tailor and religious writer,1699,1777,,,
10000331,St George Ashe,male,Church of Ireland bishop of Derry and scholar,1658,1718,,,
10003077,Peter Cross,male,miniature painter,1645,1724,,,
10010303,George Ridpath,male,journalist and pamphleteer,1616,1726,,,
10007774,Rose MacDonnell,female,noblewoman,1631,1695,,,
10003029,William Croft,male,organist and composer,1678,1727,,,
10004681,James Gardiner,male,army officer,1686,1745,,,
10004602,William Fulke,male,theologian and college head,1536,1589,,,
10009546,Elizabeth Pepys,female,wife of Samuel Pepys,1640,1669,,,
10001993,Colin Campbell of Achnaba,male,Church of Scotland minister,1644,1726,,,
10008423,Arthur Moore,male,financier and politician,1620,1730,,,
10000565,Sir James Balfour of Pittendreich,male,politician and legal writer,1525,1583,,,
10006997,Sir Edward Knatchbull,male,politician,1674,1730,,,
10007504,Thomas Livingstone,male,army officer,1651,1711,,,
10000569,Robert Balfour,male,murderer and Jacobite sympathizer,1647,1757,,,
10000472,Edward Bacon,male,,1548,1618,,,
10009718,Leonard Pilkington,male,Church of England clergyman,1527,1599,,,
10000140,Thomas Allen,male,Church of England clergyman and writer,1681,1755,,,
10002544,John Cleveland,male,poet,1613,1658,,,
10005964,Samuel Hill,male,Church of England clergyman and religious controversialist,1648,1716,,,
10009745,William Pittis,male,political writer,1673,1724,,,
10012329,Francis Vernon,male,traveller and diplomat,1637,1677,,,
10004044,Sir John Evelyn,male,politician,1591,1663,,,
10005962,Roger Hill,male,lawyer,1605,1667,,,
10010661,Thomas Sampson,male,Church of England clergyman and reformer,1517,1589,,,
10009748,Mary Pix,female,playwright and novelist,1666,1709,,,
10005910,Ann Hibbins,female,convicted witch,1546,1656,,,
10003572,Walter Donaldson,male,philosopher,1574,1684,,,
10011924,Francis Throckmorton,male,Roman Catholic conspirator,1554,1584,,,
10010671,Nicholas Sander,male,religious controversialist,1530,1581,,,
10011497,Thomas Staveley,male,antiquary,1626,1684,,,
10006993,Sir Thomas Kitson,male,merchant and local politician,1485,1540,,,
10007355,William Leslie,male,Roman Catholic priest and missioner,1621,1707,,,
10008497,Sir Richard Morgan,male,judge,1446,1556,,,
10002834,Thomas Corbett,male,secretary of the Admiralty board,1641,1751,,,
10001002,Sir William Berkeley,male,naval officer,1639,1666,,,
10010309,John Riley,male,portrait painter,1646,1691,,,
10001003,William Berkenhead,male,Jacobite spy,1648,1701,,,
10009698,Edward Pierce,male,Church of England clergyman,1630,1694,,,
10003950,James Elphinstone,male,administrator and judge,1557,1612,,,
10009719,Richard Pilkington,male,Church of England clergyman and religious controversialist,1521,1631,,,
10006820,John Kemp,male,antiquary,1665,1717,,,
10002269,Sir Thomas Chaloner the elder,male,diplomat and writer,1521,1565,,,
10009848,Thomas Porter,male,playwright,1636,1680,,,
